pID,pName,culture,adventure,wildlife,sightseeing,history,tags,province,latitude,longitude
61,"Hile, dhankuta",0.6,0.8,0,0,0.6,"Trekking,Landmarks,hiking, hills",1,27.0326834,87.3142017
62,Lukla,0,0.6,0,0,0.6,"Arts and Entertainment, Landmarks",1,60.1815946,24.9263861
63,Pakhribas,0.6,0,0,0.4,0,"Landmarks, tour",1,27.05647145,87.2507483593603
64,Pindeshwor temple,0.6,0,0,0,0.8,"Tour,Landmarks,hiking,terai",1,,
65,Thechambu,0.6,0,0,0,0.6,"Tour,Landmarks,hiking",1,27.3035363,87.7474488
66,Machhermo,0,0.8,0,0,0.4,"Tour,Landmarks,hiking",1,27.9293368,86.6809273
67,Chaurikharka,0,1,0,0,0.6,"Tour,Landmarks,hiking,Nightlife",1,27.6964,86.719139
68,Shivgunj,0.6,0,0,0,0.6,"Terai, Landmarks, tour",1,26.5721732,87.8350837
69,"Temke danda, bhojpur",1,0.6,0,0,0.8,"hiking, hills,landmarks,mountain",1,,
70,Birtamod,0.4,0.8,0,0.6,0.4,"Nightclubs, terai, tour",1,26.6048257,87.9931329345835
71,Panchthar,0.6,0.8,0.6,1,0.8,"hiking, hills, trekking, red panda, wildlife",1,27.1490731,87.8550479353394
72,Kanchanjunga national park,0,0.6,1,1,0,"trekking, wildlife, rhododendrons",1,,
73,Khangchendzonga national park,0,0.8,1,0.6,0,"trekking, wildlife,lakes,river",1,27.6558151,88.2857369712187
74,Tamur river,0,1,0,0,0,"River,adventure",1,27.2905978864147,87.696783152827
75,Fung funge waterfall,0,0.8,0,0,0,"Waterfall,river",1,,
76,Hyatrung waterfall,0,0.8,0,0,0,"waterfall,river",1,,
77,Tinjure hill,0,0.8,0,0.6,0.4,"Hill, mountain, trekking",1,,
78,Singhabahini temple,0.6,0,0,0,0.8," Religious shrine, temple",1,26.9063729,87.9276689
79,Shree Antu,0.8,0.6,0,0,0,"pond, farm",1,,
80,Siddhithumka ,0.6,0.8,0.4,0.4,0,"cave, falls, farm",1,,
81,Gajurmukhi,0.8,0.6,0,0.6,0.6,"river, religious shrine, temple",1,27.714888,85.2600365218282
82,Todke falls,0,0.6,0,0,0,"waterfall, river",1,,
83,Hangetham/ Choyatar forest,0,0.8,1,0.6,0,"Red panda,Buddhist pilgrimage, Religious Shrine",1,,
84,Indreshwor mahadev,0.8,0,0,0.6,0.8,"Temple, pilgrimage, religious shrine",1,,
85,Gupteshwor Mahadev,0.8,0.6,0,0.6,0.8,"cave, religious shrine, temple",1,28.1913102,83.9605699200823
86,Gupha pokhari,0,0.8,0,0,0.6,"cave,pond, trekking,lake,mountain",1,27.2849194,87.5060764547682
87,Pattek hill,0.4,0.6,0,0,0,"hills, trekking",1,,
88,Milke dada,0.4,0.8,0,0,0,"mountain, rhododendron, trekkking",1,,
89,Panchakanya pokhari,0.6,0.4,0,0.4,0.4,"pond, temple",1,27.0113417,87.4702617
90,Makalu barun national park,0,1,0.8,0.4,0,"trekking, wildlife,lakes,river",1,27.7567727,87.1081064392295
91,Chinnamasta Bhagawati,1,0,0,0.6,1,"hindu,temple",2,26.4510786,86.7311887
92,Kankalini Temple,1,0,0,0.6,0.6,"hindu,temple",2,26.5518594,86.8932518898517
93,Kanakpatti Palace,0.6,0,0,0.8,1,"palace, landmarks",2,,
94,Rajdevi Temple,1,0,0,0.6,0.2,"hindu,temple",2,26.787244,86.4816363
95,Chandrabhoga Gadhi,1,0,0,1,1,"landmarks, art",2,,
96,Shambhunath Temple,1,0,0,0.6,0.2,"hindu, temple ",2,26.6286281,86.6856080729127
97,Rajbiraj,1,0,0,0.8,0.6,"city, landmarks, terai region",2,26.539598,86.74855
98,"Vishnu Temple, Saptari",1,0,0,0.6,0.2,"hindu, temple",2,,
99,Khodardevi Cave,0.6,0.8,0,0.8,0,"cave, landmarks",2,,
100, Lahan Bazar,0.6,0,0,0.6,0.4,"city,landmarks",2,21.1790861,77.8303656125962
101,"Fulbari , Siraha",0.2,0,0,0.6,0,"city, garden, landmarks",2,26.6611414,86.2129365
102,Kamal Dah,0,0,0.4,1,0,lake,2,6.150657,100.4078883
103,Kamala River,0.6,0,0.6,1,0,river,2,26.9482479281203,86.2734635321297
104,Manik Dah,0,0,0.4,1,0.4,lake,2,,
105,Janaki Mandir,1,0,0,1,1,"hindu, temple",2,26.7304113,85.92566
106,Ram Mandir,1,0,0,1,1,"hindu, temple",2,19.151023,72.8501467
107,Jaleshwar ,1,0,0.6,1,1,"hindu, temple , pond, park",2,26.649191,85.800087
108,Vivah Mandap,1,0,0,1,1,"hindu, temple , pond, park",2,29.218281,79.4911549830602
109,Ratna Sagar,1,0,0.6,1,1,"hindu, temple , pond, park",2,26.7413145,85.9168347312039
110, Sarlahi Devi Temple,1,0,0,0.6,0.2,"hindu, temple",2,,
111,Gadhimai Temple,1,0,0,0.6,0.2,"hindu, temple",2,26.9930069,85.0468848691549
112,Rautahat,0.6,0.4,0.6,0.8,0.4,"city, muslim, landmarks",2,26.98897655,85.2828898567043
113,Parsa National Park,0,0.2,1,1,0.4,"national park, wildlife, landmarks",2,27.50020955,84.7800448827667
114,Maha Gadhimai,1,0,0,0.6,0.8,"hindu, temple",2,26.9857769,85.0540466
115,Churiya Mai Temple,1,0,0,0.8,0.6,"hindu, temple",2,,
116,Gadhimai Temple Jeetpur,1,0,0,0.6,0.2,"hindu, temple",2,,
117,Gateway of Nepal (Shankaracharya Gate),0,0,0,0.6,1,"landmarks, history, border",2,,
118,Ghadiarwa Pokhari – Birgunj,0.4,0,0,1,0,"hindu, temple, pond",2,27.01417285,84.8746038507135
119,Gahawa Mai Temple,0.8,0,0,0.6,0.2,"hindu, temple",2,27.0123426,84.8783672
120,Parasnath Temple,0.8,0,0,0.6,0.2,"hindu, temple",2,,
121, Vata Mandir,0.8,0,0,0.6,0.2,"hindu, temple",2,,
122,Pashupatinath temple,1,0,0,1,1,"Heritage,statues,temple,Religious shrine",3,51.48040995,0.0926415940059766
123,Hanumandhoka palace,1,0.2,0,1,1,"Temple,sightseeing, historical",3,,
124,Chitwan national park,0.6,1,1,1,0.6,"trekking, wildlife,lakes,river",3,27.51682135,84.4382935202424
125,Kalinchowk bhagwati temple,0.8,0,0,0.6,0.8,"Temple,sightseeing,Religious",3,,
126,Baudhanath stupa,0.6,0,0,0.4,0.6,"Temple,statues",3,,
127,Gosaikunda lake,0,0.8,0,0.4,0.6,"lake,trekking,mountain",3,28.08267,85.413267
128,Saping village,0.8,0.4,0,0.6,0.4,"hill,village,cultural,trekking",3,27.6564551,85.7360131
129,Patan durbar square,0.8,0,0,0.6,0.8,"temples,statues,cultural,sculpture",3,27.6734454,85.3250350121863
130,Changunarayan temple,0.6,0,0,0.6,0.8,"temples,statues,cultural,sculpture",3,27.6818997,85.4298676
131,Bhaktapur durbar square,0.6,0,0,0.6,1,"temples,statues,cultural,sculpture,museum",3,27.672078,85.4281305637353
132,Nagarkot,0.6,0.6,0,0.8,0.8,"hiking, trekking, picnic spot",3,27.718508,85.51973
133,Indra sarovar lake,0.2,0.8,0,0.4,1,"lake, pond, cultural, boat tour",3,,
134,Swayambhunath temple,0.6,0,0,0.6,1,"temple,statues,cultural,sculpture",3,,
135,Panauti,0.6,0.4,0,0.4,0.4,"hiking, cycling",3,27.585045,85.516022
136,Dolakha Bhimsen temple,0.6,0,0,0.6,0.8,"temple,statues,cultural,sculpture",3,,
